data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,admin3_pcode,inter_type,has_fatalities,month,civ_involved
7671337,104,MMR10985,10985,2021-01-19T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Bago-East,Taungoo,Kyaukkyi,Kyaukkyi,18.3264,96.7695,2,Karen Information Center News,National,"On 19 January 2021, in Pei Khaw Khee village (Kyaukkyi Township, Taungoo District, Bago Region), Myanmar military LIB 603 fired artillery shells and guns into the village. A shell fell in the village and a 41-year-old man was injured. Location coded as Kyaukkyi.",0,1618491969,MMR,MMR007011,military versus civilians,FALSE,Jan,yes
7671721,104,MMR10948,10948,2021-01-08T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Rakhine,Kyaukpyu,Ann,Pe Pa Don,19.8959,94.1846,2,Narinjara News,Subnational,"On 8 January 2021, near Pe Pa Don village (Ann Township, Kyaukpyu District, Rakhine State), villagers heard the sounds of artillery shell explosions about 7 times. The explosions were reportedly from Myanmar military battalion 919 bases near the village. Casualties unknown.",0,1612998733,MMR,MMR012014,sole military action,FALSE,Jan,yes
7672009,104,MMR10984,10984,2021-01-18T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Bago-East,Taungoo,Kyaukkyi,Kyaukkyi,18.3264,96.7695,2,Radio Free Asia,Regional,"On 18 January 2021, in Ye De village (Kyaukkyi Township, Taungoo District, Bago Region), Myanmar military shelled a village. About 185 villagers fled as well over the two days of shelling. Location coded as Kyaukkyi.",0,1618492059,MMR,MMR007011,military versus civilians,FALSE,Jan,yes
7672128,104,MMR10976,10976,2021-01-17T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Bago-East,Taungoo,Kyaukkyi,Kyaukkyi,18.3264,96.7695,2,Radio Free Asia,Regional,"On 17 January 2021, in Ye De village (Kyaukkyi Township, Taungoo District, Bago Region), Myanmar military shelled a village. Afterwards, 10 teachers and 85 students closed their school and fled. Location coded as Kyaukkyi.",0,1618492073,MMR,MMR007011,military versus civilians,FALSE,Jan,yes
7672468,104,MMR11104,11104,2021-02-01T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Twitter,New media,"On 1 February 2021, in Hpapun township (Hpapun District, Kayin State), Myanmar military shelled 7 villages. Casualties unknown.",0,1612998735,MMR,MMR003003,military versus civilians,FALSE,Feb,yes
7718348,104,MMR12130,12130,2021-02-18T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,NA,2,23,Southeast Asia,Myanmar,Shan-North,Kyaukme,Kyaukme,Kyaukme,22.5392,97.0343,1,Eleven Media Group,National,"On 18 February 2021, at ward 9 in Kyaukme town (Kyaukme Township, Kyaukme District, Shan State), an unknown armed group attacked the RCSS liaison office with two handmade explosive devices. Two cars and the gate were destroyed.",0,1618489800,MMR,MMR015012,rebels versus political miliita,FALSE,Feb,yes
7718365,104,MMR11966,11966,2021-02-15T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen Information Center News,Subnational,"On 15 February 2021, in Ta Kaw Do Baw village (Hpapun township, Hpapun district, Kayin state) (coded as Hpapun), the Myanmar military shelled the village. More than 200 villagers fled. Casualties unknown.",0,1614130926,MMR,MMR003003,military versus civilians,FALSE,Feb,yes
7718366,104,MMR11858,11858,2021-02-14T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen Information Center News,Subnational,"On 14 February 2021, in Ta Kaw Do Baw village (Hpapun township, Hpapun district, Kayin state) (coded as Hpapun), the Myanmar military shelled the village. Casualties unknown.",0,1614130926,MMR,MMR003003,military versus civilians,FALSE,Feb,yes
7718453,104,MMR11646,11646,2021-02-17T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),Farmers (Myanmar),7,37,Southeast Asia,Myanmar,Rakhine,Kyaukpyu,Ann,Tha Yet Pin Chaung,19.8873,93.8255,2,Radio Free Asia,Regional,"On 17 February 2021, near Tha Yet Pin Chaung village (Ann township, Kyaukpyu District, Rakhine State), a farmer was severely injured after stepping on a landmine. It was not known which group planted the mine.",0,1614130926,MMR,MMR012014,political militia versus civilians,FALSE,Feb,yes
7724661,104,MMR12368,12368,2021-02-22T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Rakhine,Maungdaw,Maungdaw,Taung Pyo,21.2655,92.247,2,Development Media Group,Subnational,"On 22 February 2021, near the Taung Pyo border area (Maungdaw Township, Maungdaw District, Rakhine State), a landmine exploded when workers were repairing the Myanmar-Bangladesh border fence. One worker was injured.",0,1614709547,MMR,MMR012009,political militia versus civilians,FALSE,Feb,yes
7724680,104,MMR12308,12308,2021-02-21T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Shan-North,Muse,Muse,Tee Ma,23.7686,98.0164,2,Kachin News Group,Subnational,"On 21 February 2021, near Tee Ma village (Muse Township, Muse District, Shan State), the Myanmar military shelled from the People's Militia base. One villager was injured.",0,1618489637,MMR,MMR015009,military versus civilians,FALSE,Feb,yes
7724783,104,MMR12214,12214,2021-02-19T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Shan-South,Langkho,Mongpan,Mongpan,20.3183,98.3624,2,Shan Herald Agency for News,Subnational,"On 19 February 2021, in Mongpan township (Langkho District, Shan State), the Myanmar military one-sidedly fired with both small and heavy weapons. One villager died.",1,1618489766,MMR,MMR014021,sole military action,TRUE,Feb,yes
7740881,104,MMR12998,12998,2021-03-04T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Rakhine,Sittwe,Rathedaung,Pe Tha Du,20.6781,92.7138,1,Development Media Group,Subnational,"On 4 March 2021, in Pe Tha Du village, in Rathedaung Township, in Rakhine State, two children were seriously injured after they picked up an improvised explosive device that blew up. One of them was wounded in his chest, head and limbs, while his older brother was wounded in his chest. It was not known who planted the explosive device.",0,1615331305,MMR,MMR012008,political militia versus civilians,FALSE,Mar,yes
7741001,104,MMR12657,12657,2021-03-03T00:00:00Z,2021,2,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Kayin,Kawkareik,Kawkareik,Kawkareik,16.5555,98.24,2,Radio Free Asia,Regional,"Around 3 March 2021 (as reported), in Kawkareik township (Kawkareik District, Kayin State), the Myanmar military shelled one-sidedly. The shelling displaced some villagers.",0,1615331305,MMR,MMR003006,sole military action,FALSE,Mar,yes
7741020,104,MMR12958,12958,2021-03-01T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Shan-North,Kyaukme,Kyaukme,Kyaukme,22.5392,97.0343,2,Shwe Phee Myay News Agency,Subnational,"On 1 March 2021, in Mu Thay village (Kyaukme Township, Kyaukme District, Shan State), two villagers stepped a landmine and died on their way to shopping. KNU reportedly didn't allow villagers to use the road. The armed group who planted landmine was not known yet.",2,1618489244,MMR,MMR015012,political militia versus civilians,TRUE,Mar,yes
7741026,104,MMR12655,12655,2021-02-22T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Shan-North,Lashio,Kunlong,Kunlong,23.4073,98.6445,2,Shwe Phee Myay News Agency,Subnational,"On 22 February 2021, in Kunlong township (Lashio District, Shan State), the Myanmar military fired artillery shells. Villagers from Pang Lway and Kawng Huong fled.",0,1618489581,MMR,MMR015020,sole military action,FALSE,Feb,no
7741035,104,MMR12632,12632,2021-03-05T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Shan-North,Lashio,Lashio,Mae Han,22.8847,97.698,1,Shwe Phee Myay News Agency,Subnational,"On 5 March 2021, in Mae Han village (Lashio Township, Lashio District, Shan State), several Myanmar military soldiers entered the village. The Myanmar military one-sidedly fired heavy weapon two times.",0,1618489060,MMR,MMR015001,sole military action,FALSE,Mar,no
7741037,104,MMR12955,12955,2021-02-28T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Myanmar),NA,3,NA,NA,0,30,Southeast Asia,Myanmar,Shan-North,Kyaukme,Namtu,Man San,22.9327,97.426,1,Shwe Phee Myay News Agency,Subnational,"On 28 February 2021, in Man San village (Namtu Township, Kyaukme District, Shan State), about 6 to 7 artillery shells from an unkown armed group fell in the village. 3 women and 3 men were injured. Some IDPs who took refuge in the village fled to an urban area.",0,1618489283,MMR,MMR015015,sole political militia action,FALSE,Feb,yes
7754187,104,MMR13351,13351,2021-03-08T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Rakhine,Mrauk-U,Myebon,Sa Hnyin,19.9788,93.7215,1,Radio Free Asia,Regional,"On 8 March 2021, in Sa Hnyin village (Myebon Township, Mrauk-U District, Rakhine State), a man stepped a landmine and was injured from the explosion.",0,1615994769,MMR,MMR012006,political militia versus civilians,FALSE,Mar,yes
7760899,104,MMR13916,13916,2021-03-18T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,NA,NA,0,30,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Seik Mu,25.5765,96.2883,1,Democratic Voice of Burma,National,"On 18 March 2021, in Seik Mu village (Hpakant Township. Mohnyin District, Kachin State), a bomb set by an unknown armed group exploded on the outskirts of the village. There were no casualties.",0,1616520288,MMR,MMR001009,sole political militia action,FALSE,Mar,yes
7760979,104,MMR13614,13614,2021-03-12T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,NA,NA,0,30,Southeast Asia,Myanmar,Sagaing,Katha,Indaw,Indaw,24.2225,96.1416,2,Eleven Media Group,National,"On 12 March 2021, near Indaw township (Katha District, Sagaing Region), a railway bridge along the Mandalay-Myitkyina route was damaged by explosives. One of the bridge piers was destroyed. It was not known who was responsible for the attack.",0,1616520288,MMR,MMR005021,sole political militia action,FALSE,Mar,yes
7760993,104,MMR13893,13893,2021-03-18T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Myanmar),NA,3,Military Forces of Myanmar (2021-),NA,1,13,Southeast Asia,Myanmar,Bago-East,Bago,Bago,Baw Net Gyi,17.4706,96.4474,1,Irrawaddy,National,"On 18 March 2021, in Baw Net Gyi village (Bago Township, Bago District, Bago Region), an unknown armed group fired three MM-107 artillery shells reportedly targeting the Myanmar military base, according to the Myanmar military. However, although some residents also reportedly heard the sound of explosions, others said they hear no explosions.",0,1618480843,MMR,MMR007001,military versus political militia,FALSE,Mar,no
7761082,104,MMR13665,13665,2021-03-13T00:00:00Z,2021,2,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,NA,2,12,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Tar Ma Hkan,25.5239,96.1359,2,Myitkyina Journal,Subnational,"Around 13 March 2021 (as reported), near Tar Ma Hkan village (Hpakant Township, Mohnyin District, Kachin State), the Myanmar military brigade 33 fired heavy artillery shells around a KIA brigade 31 base. The KIA didn't fire back. Casualties unknown.",0,1616520288,MMR,MMR001009,military versus rebels,FALSE,Mar,no
7761180,104,MMR13607,13607,2021-03-11T00:00:00Z,2021,2,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Shan-North,Lashio,Lashio,Lashio,22.9359,97.7498,2,Shwe Phee Myay News Agency,Subnational,"Around 11 March 2021 (as reported), in Nam Hai village (Lashio Township, Lashio District, Shan State), the Myanmar military fired two artillery shells that fell near the village. The shells did not exploded. Later, the villagers set the shells on fire.",0,1618488776,MMR,MMR015001,sole military action,FALSE,Mar,yes
7761214,104,MMR13790,13790,2021-03-16T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,VOA,International,"On 16 March 2021, in Hpapun township (Hpapun District, Kayin State), the Myanmar military fired artillery shells at Hi Ku Lu village. About 30 rounds of artillery shells were fired around the area on 15 March and 16 March. Villagers fled to another neighbourhood. The military also burned rice field.",0,1616520289,MMR,MMR003003,military versus civilians,FALSE,Mar,yes
7761235,104,MMR13744,13744,2021-03-15T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,VOA,International,"On 15 March 2021, in Hpapun township (Hpapun District, Kayin State), the Myanmar military fired artillery shells at Lel Mu Pa Law village. About 30 rounds of artillery shells were fired around the area on 15 March and 16 March. Villagers fled to another neighbourhood. The military also burned rice fields.",0,1616520289,MMR,MMR003003,military versus civilians,FALSE,Mar,yes
7787340,104,MMR14192,14192,2021-03-22T00:00:00Z,2021,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Myanmar),NA,3,Police Forces of Myanmar (2021-),NA,1,13,Southeast Asia,Myanmar,Shan-North,Lashio,Lashio,Lashio,22.9359,97.7498,1,Eleven Media Group; Radio Free Asia,National-Regional,"On 22 March 2021, in Lashio town (Lashio Township, Lashio District, Shan State), two unidentified men with a motorcycle threw a handmade bomb inside the Police Chief Office compound. A motorcycle was damaged. No one was injured.",0,1618480661,MMR,MMR015001,military versus political militia,FALSE,Mar,yes
7787571,104,MMR14124,14124,2021-03-21T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Hpakant,25.6138,96.3148,2,Eleven Media Group,National,"On 21 March 2021, near Kan See Sai Yar (Hpakant Township, Mohnyin District, Kachin State), the Myanmar military fired artillery shells twice. Casualties unknown.",0,1617127242,MMR,MMR001009,sole military action,FALSE,Mar,no
7787573,104,MMR14123,14123,2021-03-21T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Military Forces of Myanmar (2021-),NA,1,13,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Hpakant,25.6138,96.3148,2,Eleven Media Group,National,"On 21 March 2021, near Ta Dar Phyu bridge in Hmaw Kawng village, Seik Mu village tract (Hpakant Township, Mohnyin District, Kachin State), a mine exploded while the Myanmar military was passing through the area. Casualties unknown.",0,1617127242,MMR,MMR001009,military versus political militia,FALSE,Mar,no
7787623,104,MMR13998,13998,2021-03-09T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),NA,1,NA,NA,0,10,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen Information Center News,Subnational,"On 9 March 2021, in Hpapun township (Hpapun District, Kayin State), the Myanmar military one-sidedly fired artillery shells. Locals fled to safe areas.",0,1617127242,MMR,MMR003003,sole military action,FALSE,Mar,no
7787722,104,MMR14242,14242,2021-03-23T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),Journalists (Myanmar),7,37,Southeast Asia,Myanmar,Shan-North,Lashio,Lashio,Lashio,22.9359,97.7498,1,Radio Free Asia,Regional,"On 23 March 2021, in Lashio town (Lashio Township, Lashio District, Shan State), an unknown assailant attacked the house of Chief of Editor of Pyae Madaing News agency reportedly with a handmade bomb. Two of his children were injured.",0,1618480637,MMR,MMR015001,political militia versus civilians,FALSE,Mar,yes
7801588,104,MMR14187,14187,2021-03-22T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,KNU/KNLA: Karen National Union/Karen National Liberation Army,NA,2,Military Forces of Myanmar (2021-),NA,1,12,Southeast Asia,Myanmar,Bago-East,Taungoo,Kyaukkyi,Kyaukkyi,18.3264,96.7695,2,Network Media Group; Irrawaddy,National,"On 22 March 2021, on Saw Mee Lu-Kyaukkyi road in Kyaukkyi Township (Taungoo District, Bago Region), the KNU brigade-3 ambushed the Myanmar military with a landmine. Two Myanmar military trucks were hit by a landmine. Casualties unknown.",0,1618480686,MMR,MMR007011,military versus rebels,FALSE,Mar,no
7801642,104,MMR14459,14459,2021-03-28T00:00:00Z,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Myanmar (2021-),NA,1,KNU/KNLA: Karen National Union/Karen National Liberation Army,NA,2,12,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen Information Center News; Democratic Voice of Burma; Myanmar Now,Subnational-National,"On 28 March 2021, in Hpapun township (Hpapun District, Kayin State), two fighter jets of the Myanmar military fired at Thay Kaw Hta camp - one of the KNU's base camps. They fired at least four times between 3 PM to 5 PM. No casualties or fatalities reported.",0,1617737278,MMR,MMR003003,military versus rebels,FALSE,Mar,no
7801647,104,MMR14477,14477,2021-03-28T00:00:00Z,2021,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),Government of Myanmar (2016-),7,37,Southeast Asia,Myanmar,Kayin,Myawaddy,Myawaddy,Myawaddy,16.6891,98.5089,1,Karen Information Center News; Democratic Voice of Burma,Subnational-National,"On 28 March 2021, in Myawaddy town (Myawaddy Township, Myawaddy District, Kayin State), a motorcyclist threw a grenade at the No. 3 Ward Administration Office. No injuries reported, but a car parked at the side of the road was hit. An unexploded bomb was found in Ward 4 later that night.",0,1617737278,MMR,MMR003005,political militia versus civilians,FALSE,Mar,yes
7801651,104,MMR14481,14481,2021-03-28T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),Government of Myanmar (2021-) State Administration Council,7,37,Southeast Asia,Myanmar,Kachin,Myitkyina,Myitkyina,Myitkyina,25.3832,97.3963,1,Thit Htoo Lwin; Democratic Voice of Burma,New media-National,"On 28 March 2021, at Tat Kone ward in Myitkyina town (Myitkyina township, Myitkyina District, Kachin State), a landmine set up by an unknown armed group exploded at Myitkyina District Education Office. An office guard was injured in his hand. At the same time, unidentified people also set a police station on fire, though no damage was reported.",0,1617737279,MMR,MMR001001,political militia versus civilians,FALSE,Mar,yes
7801658,104,MMR14510,14510,2021-03-29T00:00:00Z,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Myanmar (2021-),NA,1,KNU/KNLA: Karen National Union/Karen National Liberation Army,NA,2,12,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Free Burma Rangers; Irrawaddy,Other-National,"On 29 March 2021, in Day Pu No area in Hpapun township (Hpapun District, Kayin State), the Myanmar military bombed the KNU brigade-5 controlled area with fighter jets. The bombing killed three civilians and wounded six civilians. More than 2,500 people fled to Thailand.",3,1617737279,MMR,MMR003003,military versus rebels,TRUE,Mar,yes
